Game_ID,Words,Category,Color
1,['HAIL', 'RAIN', 'SLEET', 'SNOW'],WET WEATHER,yellow
1,['BUCKS', 'HEAT', 'JAZZ', 'NETS'],NBA TEAMS,green
1,['OPTION', 'RETURN', 'SHIFT', 'TAB'],KEYBOARD KEYS,blue
1,['KAYAK', 'LEVEL', 'MOM', 'RACECAR'],PALINDROMES,purple
2,['BOOT', 'LOAFER', 'PUMP', 'SNEAKER'],FOOTWEAR,yellow
2,['FOOT', 'LEAGUE', 'MILE', 'YARD'],UNITS OF LENGTH,green
2,['ESSENCE', 'PEOPLE', 'TIME', 'US'],MAGAZINES,blue
2,['ARE', 'QUEUE', 'SEA', 'WHY'],LETTER HOMOPHONES,purple
3,['CHEEK', 'EYE', 'MOUTH', 'NOSE'],FACIAL FEATURES,yellow
3,['CHOW', 'GOBBLE', 'SCARF', 'WOLF'],SYNONYMS FOR EAT,green
3,['LAB', 'PEKE', 'PIT', 'POM'],DOG BREEDS, INFORMALLY,blue
3,['AMIGO', 'KING', 'STOOGE', 'TENOR'],MEMBERS OF A TRIO,purple
4,['ADIDAS', 'NIKE', 'PUMA', 'REEBOK'],SNEAKER BRANDS,yellow
4,['CABARET', 'CAROUSEL', 'CATS', 'CHICAGO'],MUSICALS BEGINNING WITH “C”,green
4,['DUST', 'MOP', 'SWEEP', 'VACUUM'],CLEANING VERBS,blue
4,['BAT', 'IRON', 'SPIDER', 'SUPER'],___ MAN SUPERHEROES,purple
5,['HULU', 'NETFLIX', 'PEACOCK', 'PRIME'],STREAMING SERVICES,yellow
5,['KETCHUP', 'MAYO', 'RELISH', 'TARTAR'],CONDIMENTS,green
5,['BLUE', 'DOWN', 'GLUM', 'LOW'],SYNONYMS FOR SAD,blue
5,['GREEN', 'MUSTARD', 'PLUM', 'SCARLET'],CLUE CHARACTERS,purple
6,['BOARDWALK', 'CHANCE', 'GO', 'JAIL'],MONOPOLY SQUARES,yellow
6,['BABY', 'MIDNIGHT', 'POWDER', 'ROYAL'],SHADES OF BLUE,green
6,['COMMON', 'FUTURE', 'ICE CUBE', 'Q-TIP'],RAPPERS,blue
6,['SEA', 'SIN', 'SISTER', 'WONDER'],MEMBERS OF A SEPTET,purple
7,['ANKLE', 'KNEE', 'SHIN', 'THIGH'],LEG PARTS,yellow
7,['CALF', 'CUB', 'JOEY', 'KID'],BABY ANIMALS,green
7,['CAN', 'HEAD', 'JOHN', 'THRONE'],SLANG FOR TOILET,blue
7,['CRAY', 'JELLY', 'SILVER', 'STAR'],___ FISH THAT AREN’T FISH,purple
8,['BACKGAMMON', 'CHECKERS', 'CHESS', 'GO'],BOARD GAMES,yellow
8,['FULL', 'KING', 'QUEEN', 'TWIN'],MATTRESS SIZES,green
8,['CHERRY', 'FIRE TRUCK', 'RUBY', 'STOP SIGN'],THINGS THAT ARE RED,blue
8,['CRYPTOGRAPHY', 'FLORIDA', 'LOCKSMITH', 'PIANO'],THINGS WITH KEYS,purple
9,['CRICKET', 'FENCING', 'POLO', 'SQUASH'],SPORTS,yellow
9,['CAMI', 'HALTER', 'TANK', 'TEE'],TOPS,green
9,['BEET', 'CARROT', 'CORN', 'ONION'],VEGETABLES,blue
9,['ANT', 'BEETLE', 'MANTIS', 'TERMITE'],INSECTS,purple
10,['DATE', 'KIWI', 'LEMON', 'ORANGE'],FRUIT,yellow
10,['CHAD', 'GEORGIA', 'JORDAN', 'TOGO'],COUNTRIES,green
10,['CRANE', 'JAY', 'SWALLOW', 'TURKEY'],BIRDS,blue
10,['FISH', 'GOAT', 'SCALES', 'TWINS'],ZODIAC SYMBOLS,purple
11,['CARDAMOM', 'CLOVE', 'CORIANDER', 'CUMIN'],SPICES BEGINNING WITH “C”,yellow
11,['BOO', 'HONEY', 'SUGAR', 'SWEETIE'],TERMS OF ENDEARMENT,green
11,['AIRPLANE', 'ANGEL', 'BIRD', 'PEGASUS'],THINGS WITH WINGS,blue
11,['BABY', 'GINGER', 'POSH', 'SCARY'],SPICE GIRLS,purple
12,['FLOCK', 'PACK', 'POD', 'SCHOOL'],ANIMAL GROUP NAMES,yellow
12,['ENVY', 'GREED', 'LUST', 'PRIDE'],DEADLY SINS,green
12,['LORIS', 'SLOTH', 'SNAIL', 'TORTOISE'],SLOW ANIMALS,blue
12,['COT', 'SEC', 'SIN', 'TAN'],TRIG FUNCTIONS,purple
13,['FRONTIER', 'SPIRIT', 'UNITED', 'VIRGIN'],AIRLINES,yellow
13,['BETA', 'CHI', 'DELTA', 'IOTA'],GREEK LETTERS,green
13,['GNAT', 'GNAW', 'GNOCCHI', 'GNOME'],SILENT “G”,blue
13,['GNU', 'KNEW', 'NEW', 'NU'],HOMOPHONES,purple
14,['BUNK', 'CANOPY', 'MURPHY', 'TRUNDLE'],BEDS,yellow
14,['JONAS', 'MARX', 'WARNER', 'WRIGHT'],FAMOUS BROTHERS,green
14,['ACCORD', 'CIVIC', 'PASSPORT', 'PILOT'],HONDAS,blue
14,['CRASH', 'LINK', 'MARIO', 'SONIC'],VIDEO GAME CHARACTERS,purple
15,['CAW', 'CHIRP', 'CLUCK', 'TWEET'],BIRD SOUNDS,yellow
15,['BROWN', 'PINK', 'TURQUOISE', 'VIOLET'],COLORS,green
15,['LURE', 'REEL', 'ROD', 'TACKLE'],FISHING GEAR,blue
15,['HOOK', 'JONES', 'SILVER', 'SPARROW'],FICTIONAL PIRATES,purple
16,['AMERICANO', 'CAPPUCCINO', 'ESPRESSO', 'LATTE'],COFFEE DRINKS,yellow
16,['ALMOND', 'CASHEW', 'PECAN', 'WALNUT'],TREE NUTS,green
16,['EMERALD', 'FOREST', 'KELLY', 'OLIVE'],SHADES OF GREEN,blue
16,['BEAN', 'CLEAN', 'FOX', 'PEANUT'],MR. ___,purple
17,['ASCOT', 'BOLO', 'SCARF', 'TIE'],NECKWEAR,yellow
17,['BOW', 'PORT', 'STARBOARD', 'STERN'],SHIP DIRECTIONS,green
17,['ALL', 'ERA', 'GAIN', 'TIDE'],DETERGENTS,blue
17,['ACUTE', 'BERMUDA', 'LOVE', 'RIGHT'],___ TRIANGLE,purple
18,['LAT', 'PEC', 'QUAD', 'TRI'],MUSCLES, INFORMALLY,yellow
18,['CUP', 'MEDAL', 'RIBBON', 'TROPHY'],AWARDS,green
18,['GREY', 'HOUSE', 'HOWSER', 'QUINN'],TITLE TV DOCTORS,blue
18,['BEAR', 'BILL', 'BROWN', 'COMMANDER'],NFL PLAYERS,purple
19,['CREAM', 'EGGSHELL', 'IVORY', 'VANILLA'],OFF-WHITE SHADES,yellow
19,['CRUCIFIX', 'GARLIC', 'MIRROR', 'STAKE'],ANTI-VAMPIRE,green
19,['BEEF', 'PORK', 'POULTRY', 'VENISON'],KINDS OF MEAT,blue
19,['ROW', 'QUARREL', 'SPAT', 'TIFF'],SYNONYMS FOR ARGUMENT,purple
20,['BARLEY', 'OAT', 'RYE', 'SPELT'],GRAINS,yellow
20,['BARON', 'EARL', 'KING', 'PRINCE'],ROYAL TITLES,green
20,['BROWN', 'DUKE', 'HOWARD', 'RICE'],UNIVERSITIES,blue
20,['BONG', 'FORD', 'LEE', 'STONE'],BEST DIRECTOR OSCAR WINNERS,purple
21,['JAZZ', 'POP', 'PUNK', 'RAP'],MUSIC GENRES,yellow
21,['CHROME', 'EDGE', 'OPERA', 'SAFARI'],WEB BROWSERS,green
21,['AMY', 'BETH', 'JO', 'MEG'],“LITTLE WOMEN” SISTERS,blue
21,['BABY', 'JON', 'KIM', 'WAYNE'],LIL ___ RAPPERS,purple
22,['BOXER', 'DALMATIAN', 'HUSKY', 'POODLE'],DOG BREEDS,yellow
22,['BEAK', 'MUZZLE', 'SNOUT', 'TRUNK'],ANIMAL NOSES,green
22,['DETOUR', 'SLOW', 'STOP', 'YIELD'],TRAFFIC SIGNS,blue
22,['ASLEEP', 'BARRIER', 'BITE', 'WAVE'],SOUND ___,purple
23,['BEACH BOY', 'BEATLE', 'BYRD', 'MONKEE'],60’s BAND MEMBERS,yellow
23,['DOUGIE', 'MACARENA', 'MASHED POTATO', 'TWIST'],DANCE FADS,green
23,['FORTUNE', 'ROLLING STONE', 'VOGUE', 'WIRED'],MAGAZINES,blue
23,['CHAIN', 'GOLF COURSE', 'SAUSAGE', 'WEBSITE'],THINGS WITH LINKS,purple
24,['BOUNTY', 'CRUNCH', 'HEATH', 'MILKY WAY'],CANDY BARS,yellow
24,['DREAMCAST', 'GENESIS', 'SWITCH', 'WII'],VIDEO GAME CONSOLES,green
24,['ANVIL', 'COCHLEA', 'HAMMER', 'STIRRUP'],EAR PARTS,blue
24,['BLINK', 'MAROON', 'SUM', 'U'],BAND NAMES MINUS NUMBERS,purple
25,['CHEESECAKE', 'FLAN', 'MOUSSE', 'TIRAMISU'],DESSERTS,yellow
25,['DARN', 'FUDGE', 'HECK', 'SHOOT'],MILD OATHS,green
25,['ELEPHANT', 'HIPPO', 'NARWHAL', 'WARTHOG'],ANIMALS WITH TUSKS,blue
25,['HANDLEBAR', 'HORSESHOE', 'PENCIL', 'WALRUS'],MUSTACHES,purple
26,['DENMARK', 'GREECE', 'POLAND', 'PORTUGAL'],EUROPEAN COUNTRIES,yellow
26,['COPY', 'ECHO', 'MIMIC', 'PARROT'],SYNONYMS FOR IMITATE,green
26,['CRUISE', 'HOLLAND', 'PETTY', 'WAITS'],TOMS,blue
26,['DILL', 'LIVID', 'MILD', 'MIX'],WORDS SPELLED WITH ROMAN NUMERALS,purple
27,['BERET', 'BOWLER', 'FEDORA', 'FEZ'],HATS,yellow
27,['HEART', 'KIDNEY', 'LIVER', 'LUNG'],ORGANS,green
27,['COVER', 'JACKET', 'PAGE', 'SPINE'],PARTS OF A BOOK,blue
27,['ASS', 'KNIFE', 'POT', 'RABBIT'],JACK ___,purple
