Game_ID,Words
1,['HAIL', 'LEVEL', 'RETURN', 'OPTION', 'SNOW', 'NETS', 'TAB', 'KAYAK', 'HEAT', 'JAZZ', 'SLEET', 'MOM', 'RACECAR', 'SHIFT', 'BUCKS', 'RAIN']
2,['MILE', 'LOAFER', 'LEAGUE', 'TIME', 'BOOT', 'ESSENCE', 'SNEAKER', 'US', 'PEOPLE', 'PUMP', 'SEA', 'YARD', 'FOOT', 'QUEUE', 'ARE', 'WHY']
3,['POM', 'TENOR', 'WOLF', 'PEKE', 'SCARF', 'KING', 'PIT', 'GOBBLE', 'EYE', 'LAB', 'CHEEK', 'NOSE', 'AMIGO', 'STOOGE', 'MOUTH', 'CHOW']
4,['REEBOK', 'DUST', 'SPIDER', 'ADIDAS', 'CABARET', 'SWEEP', 'PUMA', 'CHICAGO', 'MOP', 'CAROUSEL', 'VACUUM', 'CATS', 'SUPER', 'NIKE', 'IRON', 'BAT']
5,['HULU', 'LOW', 'KETCHUP', 'RELISH', 'GREEN', 'GLUM', 'SCARLET', 'PRIME', 'DOWN', 'MUSTARD', 'PLUM', 'MAYO', 'PEACOCK', 'BLUE', 'NETFLIX', 'TARTAR']
6,['SISTER', 'WONDER', 'SEA', 'ROYAL', 'CHANCE', 'ICE CUBE', 'SIN', 'BABY', 'MIDNIGHT', 'GO', 'POWDER', 'BOARDWALK', 'COMMON', 'Q-TIP', 'JAIL', 'FUTURE']
7,['SILVER', 'JOHN', 'THRONE', 'JELLY', 'CRAY', 'CUB', 'STAR', 'CAN', 'JOEY', 'CALF', 'HEAD', 'KID', 'KNEE', 'SHIN', 'ANKLE', 'THIGH']
8,['BACKGAMMON', 'CHESS', 'RUBY', 'FLORIDA', 'FIRE TRUCK', 'GO', 'QUEEN', 'FULL', 'LOCKSMITH', 'TWIN', 'CHECKERS', 'STOP SIGN', 'KING', 'PIANO', 'CRYPTOGRAPHY', 'CHERRY']
9,['POLO', 'ANT', 'FENCING', 'ONION', 'TANK', 'BEET', 'MANTIS', 'CORN', 'CRICKET', 'TERMITE', 'BEETLE', 'CAMI', 'TEE', 'SQUASH', 'HALTER', 'CARROT']
10,['KIWI', 'TOGO', 'TWINS', 'JAY', 'FISH', 'GEORGIA', 'CRANE', 'GOAT', 'DATE', 'JORDAN', 'SCALES', 'TURKEY', 'CHAD', 'LEMON', 'SWALLOW', 'ORANGE']
